"approach","dataset","nrow","depth","lambda","time_limit","status","obj_value","train_acc","gap","node_count","solving_time","cb_time_int","cb_time_int_suc","cb_counter_int","cb_counter_int_suc","test_acc","calib_acc","sample"
"BendersOCT","breast-cancer_enc.csv",207,3,0.1,600,9,-35.70000000000073,0.8115942028985508,76.87324929971989,201664.0,600.0230188369751,3.309455156326294,3.1108551025390625,111,92,0.7285714285714285,0.8115942028985508,1
"FlowOCT","breast-cancer_enc.csv",207,3,0.1,600,9,-34.00000000000071,0.821256038647343,98.97058823529107,12614.0,600.8242924213409,0,0,0,0,0.7142857142857143,0.8115942028985508,1
"binOCT","breast-cancer_enc.csv",207,3,0.1,600,9,37.99999999999963,0.8164251207729468,100.0,195263.0,601.970983505249,0,0,0,0,0.7428571428571429,0.8115942028985508,1
"OCT","breast-cancer_enc.csv",207,3,0.1,600,9,1454.6,0.8115942028985508,2.4267839956001622,3530.0,601.1410381793976,0,0,0,0,0.7428571428571429,0.8405797101449275,1
"Cart","breast-cancer_enc.csv",207,3,0.1,600,"NA","NA",0.6908212560386473,"NA","NA",0.0019960403442382812,"NA","NA","NA","NA",0.7571428571428571,0.6956521739130435,2
"BendersOCT","breast-cancer_enc.csv",207,3,0.1,600,9,-34.80000000000069,0.8164251207729468,92.22764723832769,111104.0,600.0119972229004,2.673360824584961,2.5736029148101807,68,58,0.7285714285714285,0.782608695652174,2
"FlowOCT","breast-cancer_enc.csv",207,3,0.1,600,9,-33.100000000000705,0.8260869565217391,96.3977937421441,20881.0,600.9160778522491,0,0,0,0,0.6857142857142857,0.8115942028985508,2
"binOCT","breast-cancer_enc.csv",207,3,0.1,600,9,34.0,0.8357487922705314,100.0,136710.0,601.9794266223907,0,0,0,0,0.6428571428571429,0.8260869565217391,2
"OCT","breast-cancer_enc.csv",207,3,0.1,600,9,1457.3,0.8260869565217391,2.2438756604679764,2326.0,601.213187456131,0,0,0,0,0.6285714285714286,0.8260869565217391,2
"Cart","breast-cancer_enc.csv",207,3,0.1,600,"NA","NA",0.7101449275362319,"NA","NA",0.002991199493408203,"NA","NA","NA","NA",0.7,0.7246376811594203,3
"BendersOCT","breast-cancer_enc.csv",207,3,0.1,600,9,-33.100000000000705,0.8260869565217391,76.55355830538763,125862.0,600.0124745368958,2.6480093002319336,2.511422634124756,77,64,0.6857142857142857,0.8840579710144928,3
"FlowOCT","breast-cancer_enc.csv",207,3,0.1,600,9,-33.100000000000705,0.8260869565217391,93.99595097932918,18762.0,600.7953338623047,0,0,0,0,0.6857142857142857,0.8840579710144928,3
"binOCT","breast-cancer_enc.csv",207,3,0.1,600,9,38.99999999999957,0.8115942028985508,100.0,193823.0,601.8751311302185,0,0,0,0,0.7,0.8260869565217391,3
"OCT","breast-cancer_enc.csv",207,3,0.1,600,9,1458.1999999999998,0.8309178743961353,2.1739130434782643,4080.0,601.3237361907959,0,0,0,0,0.7142857142857143,0.9130434782608695,3
"Cart","breast-cancer_enc.csv",207,3,0.1,600,"NA","NA",0.7198067632850241,"NA","NA",0.0019941329956054688,"NA","NA","NA","NA",0.6714285714285714,0.6956521739130435,4
"BendersOCT","breast-cancer_enc.csv",207,3,0.1,600,9,-34.90000000000069,0.8164251207729468,80.25125487356338,192089.0,600.0149219036102,3.0513510704040527,2.885789632797241,105,87,0.7571428571428571,0.7971014492753623,4
"FlowOCT","breast-cancer_enc.csv",207,3,0.1,600,9,-35.80000000000069,0.8115942028985508,97.44170965189237,21377.0,600.8208742141724,0,0,0,0,0.7428571428571429,0.7536231884057971,4
"binOCT","breast-cancer_enc.csv",207,3,0.1,600,9,37.99999999999778,0.8164251207729468,100.0,217621.0,601.9501132965088,0,0,0,0,0.7428571428571429,0.7536231884057971,4
"OCT","breast-cancer_enc.csv",207,3,0.1,600,9,1452.8,0.8019323671497585,2.5605726872246573,2312.0,601.2328190803528,0,0,0,0,0.7714285714285715,0.7391304347826086,4
"Cart","breast-cancer_enc.csv",207,4,0.1,600,"NA","NA",0.7053140096618358,"NA","NA",0.001995563507080078,"NA","NA","NA","NA",0.7142857142857143,0.7391304347826086,1
"BendersOCT","breast-cancer_enc.csv",207,4,0.1,600,9,-30.100000000000733,0.8454106280193237,98.57846989941042,35516.0,600.0187406539917,6.3687424659729,6.154362201690674,140,123,0.7714285714285715,0.8405797101449275,1
