,approach,dataset,nrow,depth,lambda,time_limit,status,obj_value,train_acc,gap,node_count,solving_time,cb_time_int,cb_time_int_suc,cb_counter_int,cb_counter_int_suc,test_acc,calib_acc,sample
315,Cart,monk1_enc.csv,93,5,0.1,600,,,0.7741935483870968,,,0.002993583679199219,,,,,0.6129032258064516,0.8064516129032258,4
320,Cart,balance-scale_enc.csv,468,2,0.1,600,,,0.4722222222222222,,,0.005987405776977539,,,,,0.4267515923566879,0.4774193548387097,1
325,Cart,balance-scale_enc.csv,468,2,0.1,600,,,0.467948717948718,,,0.0029926300048828125,,,,,0.4394904458598726,0.4903225806451613,2
330,Cart,balance-scale_enc.csv,468,2,0.1,600,,,0.4743589743589744,,,0.000997781753540039,,,,,0.4203821656050956,0.4709677419354839,3
335,Cart,balance-scale_enc.csv,468,2,0.1,600,,,0.4722222222222222,,,0.003998756408691406,,,,,0.4267515923566879,0.4709677419354839,4
340,Cart,balance-scale_enc.csv,468,3,0.1,600,,,0.4722222222222222,,,0.0019953250885009766,,,,,0.4267515923566879,0.4774193548387097,1
345,Cart,balance-scale_enc.csv,468,3,0.1,600,,,0.467948717948718,,,0.0029909610748291016,,,,,0.4394904458598726,0.4903225806451613,2
350,Cart,balance-scale_enc.csv,468,3,0.1,600,,,0.4743589743589744,,,0.03789353370666504,,,,,0.4203821656050956,0.4709677419354839,3
355,Cart,balance-scale_enc.csv,468,3,0.1,600,,,0.4722222222222222,,,0.002990245819091797,,,,,0.4267515923566879,0.4709677419354839,4
360,Cart,balance-scale_enc.csv,468,4,0.1,600,,,0.4722222222222222,,,0.0019943714141845703,,,,,0.4267515923566879,0.4774193548387097,1
365,Cart,balance-scale_enc.csv,468,4,0.1,600,,,0.467948717948718,,,0.0039882659912109375,,,,,0.4394904458598726,0.4903225806451613,2
370,Cart,balance-scale_enc.csv,468,4,0.1,600,,,0.4743589743589744,,,0.0020301342010498047,,,,,0.4203821656050956,0.4709677419354839,3
375,Cart,balance-scale_enc.csv,468,4,0.1,600,,,0.4722222222222222,,,0.001994609832763672,,,,,0.4267515923566879,0.4709677419354839,4
380,Cart,balance-scale_enc.csv,468,5,0.1,600,,,0.4722222222222222,,,0.002032756805419922,,,,,0.4267515923566879,0.4774193548387097,1
385,Cart,balance-scale_enc.csv,468,5,0.1,600,,,0.467948717948718,,,0.001994609832763672,,,,,0.4394904458598726,0.4903225806451613,2
390,Cart,balance-scale_enc.csv,468,5,0.1,600,,,0.4743589743589744,,,0.0019936561584472656,,,,,0.4203821656050956,0.4709677419354839,3
395,Cart,balance-scale_enc.csv,468,5,0.1,600,,,0.4722222222222222,,,0.003943204879760742,,,,,0.4267515923566879,0.4709677419354839,4
400,Cart,car_evaluation_enc.csv,1296,2,0.1,600,,,0.6967592592592593,,,0.002992868423461914,,,,,0.7106481481481481,0.6752336448598131,1
405,Cart,car_evaluation_enc.csv,1296,2,0.1,600,,,0.6921296296296297,,,0.0029916763305664067,,,,,0.7245370370370371,0.6728971962616822,2
410,Cart,car_evaluation_enc.csv,1296,2,0.1,600,,,0.7006172839506173,,,0.002992391586303711,,,,,0.6990740740740741,0.7219626168224299,3
415,Cart,car_evaluation_enc.csv,1296,2,0.1,600,,,0.6959876543209876,,,0.004022359848022461,,,,,0.7129629629629629,0.6822429906542056,4
420,Cart,car_evaluation_enc.csv,1296,3,0.1,600,,,0.6967592592592593,,,0.004034996032714844,,,,,0.7106481481481481,0.6752336448598131,1
425,Cart,car_evaluation_enc.csv,1296,3,0.1,600,,,0.6921296296296297,,,0.004992008209228516,,,,,0.7245370370370371,0.6728971962616822,2
430,Cart,car_evaluation_enc.csv,1296,3,0.1,600,,,0.7006172839506173,,,0.002991914749145508,,,,,0.6990740740740741,0.7219626168224299,3
435,Cart,car_evaluation_enc.csv,1296,3,0.1,600,,,0.6959876543209876,,,0.0040285587310791016,,,,,0.7129629629629629,0.6822429906542056,4
440,Cart,car_evaluation_enc.csv,1296,4,0.1,600,,,0.6967592592592593,,,0.09891963005065918,,,,,0.7106481481481481,0.6752336448598131,1
445,Cart,car_evaluation_enc.csv,1296,4,0.1,600,,,0.6921296296296297,,,0.002003192901611328,,,,,0.7245370370370371,0.6728971962616822,2
450,Cart,car_evaluation_enc.csv,1296,4,0.1,600,,,0.7006172839506173,,,0.003989219665527344,,,,,0.6990740740740741,0.7219626168224299,3
455,Cart,car_evaluation_enc.csv,1296,4,0.1,600,,,0.6959876543209876,,,0.003017425537109375,,,,,0.7129629629629629,0.6822429906542056,4
460,Cart,car_evaluation_enc.csv,1296,5,0.1,600,,,0.6967592592592593,,,0.003988742828369141,,,,,0.7106481481481481,0.6752336448598131,1
465,Cart,car_evaluation_enc.csv,1296,5,0.1,600,,,0.6921296296296297,,,0.004987478256225586,,,,,0.7245370370370371,0.6728971962616822,2
470,Cart,car_evaluation_enc.csv,1296,5,0.1,600,,,0.7006172839506173,,,0.004625558853149414,,,,,0.6990740740740741,0.7219626168224299,3
475,Cart,car_evaluation_enc.csv,1296,5,0.1,600,,,0.6959876543209876,,,0.003984928131103516,,,,,0.7129629629629629,0.6822429906542056,4
