approach,dataset,depth,obs_count,mean_train_acc,std_train_acc,mean_test_acc,std_test_acc,mean_solv_time,std_solve_time,mean_gap,std_gap,mean_train_cart,mean_test_cart,enc_features
FlowOCT,car_evaluation_enc.csv,2,1296,0.7816358024691359,0.0032736425054933006,0.7662037037037037,0.009820927516479798,92.71215337514877,24.94395373451909,0.0,0.0,0.7816358024691359,0.7662037037037037,20
FlowOCT,car_evaluation_enc.csv,3,1296,0.8055555555555556,0.007586358643905652,0.7916666666666667,0.016148495012697734,679.9869338274002,152.2736512716936,98.92460793708324,1.3334283934975557,0.8097993827160493,0.7928240740740741,20
FlowOCT,car_evaluation_enc.csv,4,1296,0.806712962962963,0.007306518884435048,0.7957175925925927,0.015164540128883883,607.5801795125008,1.0885316067948707,99.86374992172745,0.007756352316564041,0.8225308641975309,0.7962962962962963,20
FlowOCT,car_evaluation_enc.csv,5,1296,0.6963734567901235,0.003479359377178151,0.7118055555555555,0.010438078131534481,614.8993230462074,0.18879941187138904,3952.612953451002,45.30080471172092,0.8682484567901234,0.859375,20
FlowOCT,kr-vs-kp_enc.csv,2,2397,0.8344806007509387,0.05449098537897638,0.8351063829787233,0.055081871631946236,604.832052707672,0.5327249521929639,99.92235207202408,0.034918696348668246,0.7743012098456403,0.7643929912390488,39
FlowOCT,kr-vs-kp_enc.csv,3,2397,0.6370463078848561,0.06288710677513487,0.6248435544430538,0.07896684084583566,610.1483391523361,0.09563043939077166,99.97946149341278,0.005205914281316791,0.9045682102628285,0.9033166458072591,39
FlowOCT,kr-vs-kp_enc.csv,4,2397,0.7941176470588236,0.06231018478239898,0.7959949937421777,0.06268659785415115,620.3206467032433,0.22985427914020753,99.95434101018327,0.021287292108513618,0.9424280350438048,0.9361702127659575,39
FlowOCT,kr-vs-kp_enc.csv,5,2397,0.7692949520233625,0.07529832023193021,0.7668961201501877,0.0762556151131182,640.746757209301,0.8620963283612815,99.96436430863719,0.012444798813670468,0.9424280350438048,0.9361702127659575,39
FlowOCT,monk1_enc.csv,2,93,0.8387096774193549,0.0291184172209174,0.7016129032258064,0.1065818688258011,2.5656906366348267,0.34346196562621395,0.0,0.0,0.7688172043010753,0.6612903225806451,16
FlowOCT,monk1_enc.csv,3,93,0.932795698924731,0.016129032258064627,0.8709677419354838,0.06451612903225801,25.776893138885498,2.869778823692417,0.0,0.0,0.881720430107527,0.782258064516129,16
FlowOCT,monk1_enc.csv,4,93,1.0,0.0,1.0,0.0,24.784220218658447,6.3553018514770185,0.0,0.0,0.881720430107527,0.782258064516129,16
FlowOCT,monk1_enc.csv,5,93,1.0,0.0,1.0,0.0,55.00320363044739,24.17946063146869,0.0,0.0,0.8870967741935485,0.7661290322580645,16
FlowOCT,soybean-small_enc.csv,2,35,1.0,0.0,1.0,0.0,0.6175726652145386,0.34658967075467684,0.0,0.0,0.8357142857142857,0.6458333333333334,46
FlowOCT,soybean-small_enc.csv,3,35,1.0,0.0,1.0,0.0,1.127554714679718,0.5379040656800066,0.0,0.0,1.0,1.0,46
FlowOCT,soybean-small_enc.csv,4,35,1.0,0.0,1.0,0.0,4.6765095591545105,2.5559785266193447,0.0,0.0,1.0,1.0,46
FlowOCT,soybean-small_enc.csv,5,35,1.0,0.0,1.0,0.0,11.36473947763443,2.9567049748862577,0.0,0.0,1.0,1.0,46
OCT,balance-scale_enc.csv,2,468,0.6816239316239316,0.00971380462748282,0.6815286624203821,0.02895579978128631,51.61805647611618,21.45081387054661,0.0563772957432362,0.04089572984256127,0.6800213675213675,0.6863057324840763,21
OCT,balance-scale_enc.csv,3,468,0.7163461538461539,0.020744110939046566,0.7149681528662419,0.03904792814808814,601.8429043889046,0.1655655873737508,3.6835223951938074,0.2792221778690585,0.7013888888888888,0.697452229299363,21
OCT,balance-scale_enc.csv,4,468,0.0,0.0,0.0,0.0,604.2840076088905,0.22168811894877982,inf,0.0,0.7232905982905983,0.697452229299363,21
OCT,balance-scale_enc.csv,5,468,0.0,0.0,0.0,0.0,610.7873143553734,0.47165324111079787,inf,0.0,0.7916666666666666,0.7292993630573248,21
