approach,dataset,nrow,depth,lambda,time_limit,status,obj_value,train_acc,gap,node_count,solving_time,cb_time_int,cb_time_int_suc,cb_counter_int,cb_counter_int_suc,test_acc,calib_acc,sample,warmstart
binOCT,car_evaluation_enc.csv,1296,2,0.1,600,2.0,280.0,0.7839506172839507,0.0,10787.0,222.831618309021,0.0,0.0,0.0,0.0,0.7592592592592593,0.7616822429906542,2,
OCT,car_evaluation_enc.csv,1296,2,0.1,600,9.0,4413.3,0.7839506172839507,5.710012915505404,817.0,602.3381323814392,0.0,0.0,0.0,0.0,0.7592592592592593,0.7616822429906542,2,
BendersOCT,car_evaluation_enc.csv,1296,2,0.1,600,2.0,-252.19999999999425,0.7839506172839507,0.0,1492.0,54.44772815704346,3.104611873626709,2.907224655151367,23.0,18.0,0.7592592592592593,0.7990654205607477,3,
FlowOCT,car_evaluation_enc.csv,1296,2,0.1,600,2.0,-252.19999999999425,0.7839506172839507,0.0,1901.0,127.31381368637084,0.0,0.0,0.0,0.0,0.7592592592592593,0.7990654205607477,3,
binOCT,car_evaluation_enc.csv,1296,2,0.1,600,2.0,279.9999999999893,0.7839506172839507,0.0985221674839551,13776.0,192.40217566490173,0.0,0.0,0.0,0.0,0.7592592592592593,0.7990654205607477,3,
OCT,car_evaluation_enc.csv,1296,2,0.1,600,9.0,4413.3,0.7839506172839507,2.1095325493395043,2496.0,602.1072497367859,0.0,0.0,0.0,0.0,0.7592592592592593,0.7990654205607477,3,
BendersOCT,car_evaluation_enc.csv,1296,2,0.1,600,2.0,-260.29999999999427,0.7770061728395061,0.0,1774.0,60.59124517440796,2.770106077194214,2.682300806045532,24.0,21.0,0.7800925925925926,0.7686915887850467,4,
FlowOCT,car_evaluation_enc.csv,1296,2,0.1,600,2.0,-260.2999999999944,0.7770061728395061,0.0,717.0,68.06267428398132,0.0,0.0,0.0,0.0,0.7800925925925926,0.7686915887850467,4,
binOCT,car_evaluation_enc.csv,1296,2,0.1,600,2.0,289.0,0.7770061728395061,0.0,11002.0,187.6618926525116,0.0,0.0,0.0,0.0,0.7800925925925926,0.7686915887850467,4,
OCT,car_evaluation_enc.csv,1296,2,0.1,600,9.0,4405.200000000001,0.7770061728395061,5.904385725960195,2216.0,602.067688703537,0.0,0.0,0.0,0.0,0.7800925925925926,0.7686915887850467,4,
BendersOCT,car_evaluation_enc.csv,1296,3,0.1,600,9.0,-218.099999999994,0.8132716049382716,71.63489880133291,12764.0,600.0576570034027,7.976613521575928,7.611738443374634,54.0,45.0,0.7824074074074074,0.794392523364486,1,
FlowOCT,car_evaluation_enc.csv,1296,3,0.1,600,9.0,-238.09999999999425,0.7962962962962963,96.95941081178772,1020.0,603.839695930481,0.0,0.0,0.0,0.0,0.7777777777777778,0.7850467289719626,1,
binOCT,car_evaluation_enc.csv,1296,3,0.1,600,9.0,241.99999999997317,0.8132716049382716,100.0,18166.0,606.6164846420288,0.0,0.0,0.0,0.0,0.7824074074074074,0.794392523364486,1,
OCT,car_evaluation_enc.csv,1296,3,0.1,600,9.0,9015.6,0.7299382716049383,3.4972713962465187,20.0,605.4030404090881,0.0,0.0,0.0,0.0,0.7569444444444444,0.6962616822429907,1,
BendersOCT,car_evaluation_enc.csv,1296,3,0.1,600,9.0,-215.4999999999941,0.8155864197530864,90.6235498839896,8336.0,600.0268590450287,7.581680297851562,7.33648157119751,51.0,45.0,0.7754629629629629,0.7873831775700935,2,
FlowOCT,car_evaluation_enc.csv,1296,3,0.1,600,9.0,-220.79999999999416,0.8109567901234568,99.2292490118732,772.0,603.8749604225159,0.0,0.0,0.0,0.0,0.7893518518518519,0.7920560747663551,2,
binOCT,car_evaluation_enc.csv,1296,3,0.1,600,9.0,244.99999999999145,0.8109567901234568,100.0,22054.0,606.3358190059662,0.0,0.0,0.0,0.0,0.7893518518518519,0.7920560747663551,2,
OCT,car_evaluation_enc.csv,1296,3,0.1,600,9.0,-inf,,inf,33.0,604.8228578567505,0.0,0.0,0.0,0.0,,,2,
BendersOCT,car_evaluation_enc.csv,1296,3,0.1,600,9.0,-218.9999999999942,0.8125,98.1930028612498,5750.0,600.0319528579712,9.197666883468628,8.645093202590942,74.0,63.0,0.7847222222222222,0.8177570093457944,3,
FlowOCT,car_evaluation_enc.csv,1296,3,0.1,600,9.0,-218.9999999999941,0.8125,99.77168949771212,718.0,603.8356697559357,0.0,0.0,0.0,0.0,0.7847222222222222,0.8177570093457944,3,
binOCT,car_evaluation_enc.csv,1296,3,0.1,600,9.0,242.9999999999982,0.8125,100.0,26564.0,606.2922313213348,0.0,0.0,0.0,0.0,0.7847222222222222,0.8177570093457944,3,
OCT,car_evaluation_enc.csv,1296,3,0.1,600,9.0,8981.4,0.7006172839506173,3.891375509386065,108.0,604.9209144115448,0.0,0.0,0.0,0.0,0.6990740740740741,0.7219626168224299,3,
BendersOCT,car_evaluation_enc.csv,1296,3,0.1,600,9.0,-230.69999999999413,0.8024691358024691,77.69830949284658,12196.0,600.1072962284088,8.332552433013916,7.916518211364746,64.0,55.0,0.8148148148148148,0.8014018691588785,4,
FlowOCT,car_evaluation_enc.csv,1296,3,0.1,600,9.0,-230.69999999999413,0.8024691358024691,99.73808242695988,568.0,908.3974092006684,0.0,0.0,0.0,0.0,0.8148148148148148,0.7990654205607477,4,
binOCT,car_evaluation_enc.csv,1296,3,0.1,600,9.0,249.0,0.8078703703703703,100.0,13777.0,615.669713973999,0.0,0.0,0.0,0.0,0.7986111111111112,0.8107476635514018,4,
OCT,car_evaluation_enc.csv,1296,3,0.1,600,9.0,-inf,,inf,1.0,604.3423364162445,0.0,0.0,0.0,0.0,,,4,
BendersOCT,car_evaluation_enc.csv,1296,4,0.1,600,9.0,-200.39999999999395,0.8287037037037037,99.76152821356315,4223.0,600.0461006164551,16.140058994293213,15.696146488189695,96.0,86.0,0.7916666666666666,0.8130841121495327,1,
FlowOCT,car_evaluation_enc.csv,1296,4,0.1,600,9.0,-218.099999999994,0.8132716049382716,99.85306339074022,5.0,606.9015080928802,0.0,0.0,0.0,0.0,0.7824074074074074,0.794392523364486,1,
binOCT,car_evaluation_enc.csv,1296,4,0.1,600,9.0,240.9999999999991,0.8140432098765432,100.0,2193.0,614.0925509929657,0.0,0.0,0.0,0.0,0.7615740740740741,0.8014018691588785,1,
OCT,car_evaluation_enc.csv,1296,4,0.1,600,9.0,-inf,,inf,1.0,611.1122155189514,0.0,0.0,0.0,0.0,,,1,
BendersOCT,car_evaluation_enc.csv,1296,4,0.1,600,9.0,-220.9999999999941,0.8109567901234568,99.80927547474082,4513.0,600.0342352390289,16.97194528579712,16.388471364974976,111.0,101.0,0.7893518518518519,0.7920560747663551,2,
FlowOCT,car_evaluation_enc.csv,1296,4,0.1,600,9.0,-235.29999999999416,0.7986111111111112,99.86896160927888,1.0,607.0614075660706,0.0,0.0,0.0,0.0,0.8009259259259259,0.7897196261682243,2,
binOCT,car_evaluation_enc.csv,1296,4,0.1,600,9.0,224.0,0.8271604938271605,100.0,2179.0,614.1574997901917,0.0,0.0,0.0,0.0,0.7962962962962963,0.8014018691588785,2,
OCT,car_evaluation_enc.csv,1296,4,0.1,600,9.0,18368.1,0.7484567901234568,1.6006010420239438,1.0,612.2040493488312,0.0,0.0,0.0,0.0,0.7777777777777778,0.7242990654205608,2,
BendersOCT,car_evaluation_enc.csv,1296,4,0.1,600,9.0,-201.9999999999941,0.8271604938271605,99.7959233117436,4640.0,600.0403249263763,15.18289852142334,14.688281297683716,96.0,86.0,0.7962962962962963,0.8411214953271028,3,
FlowOCT,car_evaluation_enc.csv,1296,4,0.1,600,9.0,-218.9999999999941,0.8125,99.86301369861768,1.0,607.1522443294525,0.0,0.0,0.0,0.0,0.7847222222222222,0.8177570093457944,3,
binOCT,car_evaluation_enc.csv,1296,4,0.1,600,9.0,225.0,0.8263888888888888,100.0,1365.0,614.5222859382629,0.0,0.0,0.0,0.0,0.7986111111111112,0.8294392523364486,3,
OCT,car_evaluation_enc.csv,1296,4,0.1,600,9.0,-inf,,inf,1.0,612.0116858482361,0.0,0.0,0.0,0.0,,,3,
BendersOCT,car_evaluation_enc.csv,1296,4,0.1,600,9.0,-204.8999999999941,0.8248456790123457,99.77942092376908,4988.0,600.0313210487366,14.192749738693236,13.626311779022217,102.0,91.0,0.8032407407407407,0.8294392523364486,4,
FlowOCT,car_evaluation_enc.csv,1296,4,0.1,600,9.0,-230.69999999999413,0.8024691358024691,99.86996098827304,1.0,609.2055580615997,0.0,0.0,0.0,0.0,0.8148148148148148,0.8014018691588785,4,
