"approach","dataset","tdr","fdr","sample"
Benders,synthetic100_30_5.csv,0.5,0.7419354838709677,1
Cart,synthetic100_30_5.csv,0.5625,0.3076923076923077,1
Flow,synthetic100_30_5.csv,0.75,0.5714285714285714,1
Bin,synthetic100_30_5.csv,0.6875,0.6451612903225806,1
OCT,synthetic100_30_5.csv,0.375,0.76,1
Benders,synthetic100_30_5.csv,0.375,0.7777777777777778,2
Cart,synthetic100_30_5.csv,0.375,0.5,2
Flow,synthetic100_30_5.csv,0.4375,0.7307692307692307,2
Bin,synthetic100_30_5.csv,0.6875,0.6451612903225806,2
OCT,synthetic100_30_5.csv,0.5625,0.7096774193548387,2
Benders,synthetic100_30_5.csv,0.625,0.6551724137931034,3
Cart,synthetic100_30_5.csv,0.375,0.4,3
Flow,synthetic100_30_5.csv,0.5,0.6190476190476191,3
Bin,synthetic100_30_5.csv,0.4375,0.7741935483870968,3
OCT,synthetic100_30_5.csv,0.5,0.68,3
Benders,synthetic100_30_5.csv,0.6875,0.6333333333333333,4
Cart,synthetic100_30_5.csv,0.5625,0.18181818181818182,4
Flow,synthetic100_30_5.csv,0.5625,0.6785714285714286,4
Bin,synthetic100_30_5.csv,0.5625,0.7096774193548387,4
OCT,synthetic100_30_5.csv,0.5625,0.7096774193548387,4
Benders,synthetic100_100_2.csv,1.0,0.0,1
Cart,synthetic100_100_2.csv,0.6666666666666666,0.3333333333333333,1
Flow,synthetic100_100_2.csv,1.0,0.0,1
Bin,synthetic100_100_2.csv,1.0,0.0,1
OCT,synthetic100_100_2.csv,1.0,0.0,1
Benders,synthetic100_100_2.csv,1.0,0.0,2
Cart,synthetic100_100_2.csv,0.6666666666666666,0.3333333333333333,2
Flow,synthetic100_100_2.csv,1.0,0.0,2
Bin,synthetic100_100_2.csv,1.0,0.0,2
OCT,synthetic100_100_2.csv,1.0,0.0,2
Benders,synthetic100_100_2.csv,1.0,0.0,3
Cart,synthetic100_100_2.csv,0.6666666666666666,0.3333333333333333,3
Flow,synthetic100_100_2.csv,1.0,0.0,3
Bin,synthetic100_100_2.csv,1.0,0.0,3
